Notes,County,County Code,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F),Avg Daily Max Heat Index (F),County_Formatted,latitude,longitude
,"Sussex County, NJ",34037.0,57.02,41.99,87.77,"Sussex County, NJ",41.1285,-74.6997
,"Union County, NJ",34039.0,60.17,44.79,88.59,"Union County, NJ",40.6656,-74.2739
,"Warren County, NJ",34041.0,58.21,43.39,88.41,"Warren County, NJ",40.8438,-74.9606
,"Bernalillo County, NM",35001.0,66.13,47.16,84.38,"Bernalillo County, NM",35.0448,-106.677
,"Catron County, NM",35003.0,61.14,41.46,81.2,"Catron County, NM",33.9034,-108.3815
,"Chaves County, NM",35005.0,73.65,52.49,87.36,"Chaves County, NM",33.3103,-104.326
,"Cibola County, NM",35006.0,60.99,42.55,81.87,"Cibola County, NM",34.9699,-107.7712
,"Colfax County, NM",35007.0,58.25,39.06,82.14,"Colfax County, NM",36.608,-104.6914
,"Curry County, NM",35009.0,71.05,48.55,86.54,"Curry County, NM",34.6369,-103.3746
,"DeBaca County, NM",35011.0,72.52,50.49,86.93,"DeBaca County, NM",,
,"Dona Ana County, NM",35013.0,74.25,54.49,86.69,"Dona Ana County, NM",32.4252,-106.8378
,"Eddy County, NM",35015.0,75.94,54.91,88.27,"Eddy County, NM",32.4808,-104.2872
,"Grant County, NM",35017.0,68.06,49.01,84.13,"Grant County, NM",32.5305,-108.2852
,"Guadalupe County, NM",35019.0,69.31,48.53,85.28,"Guadalupe County, NM",34.7867,-104.7101
,"Harding County, NM",35021.0,68.11,47.16,85.63,"Harding County, NM",35.8052,-103.8729
,"Hidalgo County, NM",35023.0,73.23,53.65,85.79,"Hidalgo County, NM",32.0624,-108.7865
,"Lea County, NM",35025.0,74.88,53.05,87.83,"Lea County, NM",32.7925,-103.4398
,"Lincoln County, NM",35027.0,66.88,47.94,84.12,"Lincoln County, NM",33.7438,-105.472
,"Los Alamos County, NM",35028.0,56.29,38.43,80.27,"Los Alamos County, NM",35.8672,-106.324
,"Luna County, NM",35029.0,74.21,54.52,86.42,"Luna County, NM",32.1966,-107.7641
,"McKinley County, NM",35031.0,60.89,42.84,81.88,"McKinley County, NM",35.4565,-108.1768
,"Mora County, NM",35033.0,60.16,40.81,82.47,"Mora County, NM",36.0086,-104.9416
